bulan,sektor,wilayah,jumlah_umkm,total_penjualan_juta,rata_penjualan_juta,pertumbuhan_persen
Juni,Kerajinan,Sumatera,228000,2372400,10.4,-11.1
Juni,Kuliner,Kalimantan,338000,3987720,11.8,-11.9
Juni,Fashion,Kalimantan,193000,1881260,9.7,-14.4
Juni,Kerajinan,Kalimantan,96000,844800,8.8,-9.3
Juni,Kuliner,Sulawesi,308000,3450960,11.2,-11.6
Juni,Fashion,Sulawesi,173000,1571390,9.1,-9.9
Juni,Kerajinan,Sulawesi,82000,656820,8.0,-8.3
Juli,Kuliner,Jawa,1300000,23270000,17.9,2.7
Juli,Fashion,Jawa,1035000,15732750,15.2,2.5
Juli,Kerajinan,Jawa,458000,5694100,12.4,3.6
Juli,Kuliner,Sumatera,825000,11865000,14.4,4.1
Juli,Fashion,Sumatera,558000,7364600,13.2,3.7
Juli,Kerajinan,Sumatera,230000,2461000,10.7,3.7
Juli,Kuliner,Kalimantan,340000,4101600,12.1,2.9
Juli,Fashion,Kalimantan,194000,1938860,10.0,3.1
Juli,Kerajinan,Kalimantan,97000,874730,9.0,3.5
Juli,Kuliner,Sulawesi,310000,3579500,11.5,3.7
Juli,Fashion,Sulawesi,174000,1614210,9.3,2.7
Juli,Kerajinan,Sulawesi,82500,665250,8.1,1.3
Agustus,Kuliner,Jawa,1308000,24007200,18.4,3.2
Agustus,Fashion,Jawa,1040000,16224000,15.6,3.1
Agustus,Kerajinan,Jawa,461000,5906820,12.8,3.7
Agustus,Kuliner,Sumatera,830000,12285600,14.8,3.5
Agustus,Fashion,Sumatera,562000,7671300,13.7,4.2
Agustus,Kerajinan,Sumatera,232000,2554400,11.0,3.8
Agustus,Kuliner,Kalimantan,343000,4261060,12.4,3.9
Agustus,Fashion,Kalimantan,196000,2009600,10.3,3.6
Agustus,Kerajinan,Kalimantan,98000,912380,9.3,4.3
Agustus,Kuliner,Sulawesi,313000,3699550,11.8,3.4
Agustus,Fashion,Sulawesi,176000,1671040,9.5,3.5
Agustus,Kerajinan,Sulawesi,83000,690350,8.3,3.7
September,Kuliner,Jawa,1315000,24780500,18.8,3.2
September,Fashion,Jawa,1045000,16720000,16.0,3.1
September,Kerajinan,Jawa,464000,6113280,13.2,3.5
September,Kuliner,Sumatera,835000,12776000,15.3,4.0
September,Fashion,Sumatera,566000,8036100,14.2,4.8
September,Kerajinan,Sumatera,235000,2656500,11.3,4.0
September,Kuliner,Kalimantan,346000,4434740,12.8,4.1
September,Fashion,Kalimantan,198000,2099580,10.6,4.5
September,Kerajinan,Kalimantan,99000,946440,9.6,3.7
September,Kuliner,Sulawesi,316000,3888120,12.3,5.1
September,Fashion,Sulawesi,178000,1734880,9.7,3.8
September,Kerajinan,Sulawesi,84000,722400,8.6,4.6
Oktober,Kuliner,Jawa,1323000,25824600,19.5,4.2
Oktober,Fashion,Jawa,1052000,17358000,16.5,3.8
Oktober,Kerajinan,Jawa,468000,6349920,13.6,3.9
Oktober,Kuliner,Sumatera,842000,13304060,15.8,4.1
Oktober,Fashion,Sumatera,572000,8436240,14.8,5.0
Oktober,Kerajinan,Sumatera,238000,2795500,11.7,5.3
Oktober,Kuliner,Kalimantan,350000,4690000,13.4,5.9
Oktober,Fashion,Kalimantan,201000,2231100,11.1,6.3
Oktober,Kerajinan,Kalimantan,101000,1000900,9.9,5.8
Oktober,Kuliner,Sulawesi,320000,4102400,12.8,5.5
Oktober,Fashion,Sulawesi,181000,1828310,10.1,5.4
Oktober,Kerajinan,Sulawesi,85500,762570,8.9,5.6
November,Kuliner,Jawa,1335000,28270500,21.2,8.7
November,Fashion,Jawa,1065000,20661000,19.4,17.6
November,Kerajinan,Jawa,475000,7267500,15.3,14.3
November,Kuliner,Sumatera,853000,15270700,17.9,14.8
November,Fashion,Sumatera,583000,10285090,17.6,22.0
November,Kerajinan,Sumatera,244000,3294600,13.5,17.9
November,Kuliner,Kalimantan,356000,5467480,15.4,16.6
November,Fashion,Kalimantan,207000,2940420,14.2,31.8
November,Kerajinan,Kalimantan,104000,1283920,12.3,28.3
November,Kuliner,Sulawesi,326000,4941100,15.2,20.4
November,Fashion,Sulawesi,187000,2477410,13.2,35.4
November,Kerajinan,Sulawesi,88000,1013200,11.5,32.8
Desember,Kuliner,Jawa,1348000,30890400,22.9,9.3
Desember,Fashion,Jawa,1078000,23281800,21.6,12.7
Desember,Kerajinan,Jawa,483000,8348850,17.3,14.9
Desember,Kuliner,Sumatera,865000,17300000,20.0,13.3
Desember,Fashion,Sumatera,596000,12069400,20.2,17.3
Desember,Kerajinan,Sumatera,251000,3891800,15.5,18.1
Desember,Kuliner,Kalimantan,362000,6261800,17.3,14.5
Desember,Fashion,Kalimantan,213000,3513900,16.5,19.5
Desember,Kerajinan,Kalimantan,107000,1594320,14.9,24.2
Desember,Kuliner,Sulawesi,333000,5861880,17.6,18.6
Desember,Fashion,Sulawesi,193000,3085120,16.0,24.5
Desember,Kerajinan,Sulawesi,91000,1266300,13.9,25.0
